Source,Target,Weight
0,122,1
1,122,1
2,122,1
3,122,1
4,122,1
5,122,1
6,122,1
7,122,1
8,68,1
8,96,1
8,122,1
9,68,1
9,122,1
10,122,1
11,122,1
12,122,1
13,122,1
14,122,1
15,122,1
16,122,1
17,122,1
18,122,1
19,122,1
20,122,1
21,122,1
22,122,1
23,122,1
24,122,1
25,122,1
26,122,1
27,122,1
28,122,1
29,122,1
30,122,1
31,122,1
32,122,1
33,122,1
34,122,1
35,122,1
36,38,1
36,122,1
37,122,1
38,36,1
38,62,1
38,96,1
38,122,1
39,122,1
40,122,1
41,122,1
42,122,1
43,122,1
44,122,1
45,122,1
46,122,1
47,122,1
48,122,1
49,122,1
50,122,1
51,122,1
52,122,1
53,122,1
54,122,1
55,122,1
56,122,1
57,122,1
58,122,1
59,122,1
60,122,1
61,122,1
62,38,1
62,122,1
63,122,1
64,122,1
65,122,1
66,122,1
67,122,1
68,8,1
68,9,1
68,122,1
69,122,1
70,122,1
71,122,1
72,122,1
73,122,1
74,84,1
74,122,1
75,122,1
76,122,1
77,122,1
78,122,1
79,122,1
80,122,1
81,122,1
82,122,1
83,122,1
84,74,1
84,122,1
85,122,1
86,122,1
87,122,1
88,122,1
89,122,1
90,122,1
91,122,1
92,122,1
93,122,1
94,122,1
95,122,1
96,8,1
96,38,1
96,122,1
97,122,1
98,122,1
99,122,1
100,122,1
101,122,1
102,122,1
103,122,1
104,122,1
105,122,1
106,122,1
107,122,1
108,122,1
109,122,1
110,122,1
111,122,1
112,122,1
113,122,1
114,122,1
115,122,1
116,122,1
117,122,1
118,122,1
119,122,1
120,122,1
121,122,1
122,0,1
122,1,1
122,2,1
122,3,1
122,4,1
122,5,1
122,6,1
122,7,1
122,8,1
122,9,1
122,10,1
122,11,1
122,12,1
122,13,1
122,14,1
122,15,1
122,16,1
122,17,1
122,18,1
122,19,1
122,20,1
122,21,1
122,22,1
122,23,1
122,24,1
122,25,1
122,26,1
122,27,1
122,28,1
122,29,1
122,30,1
122,31,1
122,32,1
122,33,1
122,34,1
122,35,1
122,36,1
122,37,1
122,38,1
122,39,1
122,40,1
122,41,1
122,42,1
122,43,1
122,44,1
122,45,1
122,46,1
122,47,1
122,48,1
122,49,1
122,50,1
122,51,1
122,52,1
122,53,1
122,54,1
122,55,1
122,56,1
122,57,1
122,58,1
122,59,1
122,60,1
122,61,1
122,62,1
122,63,1
122,64,1
122,65,1
122,66,1
122,67,1
122,68,1
122,69,1
122,70,1
122,71,1
122,72,1
122,73,1
122,74,1
122,75,1
122,76,1
122,77,1
122,78,1
122,79,1
122,80,1
122,81,1
122,82,1
122,83,1
122,84,1
122,85,1
122,86,1
122,87,1
122,88,1
122,89,1
122,90,1
122,91,1
122,92,1
122,93,1
122,94,1
122,95,1
122,96,1
122,97,1
122,98,1
122,99,1
122,100,1
122,101,1
122,102,1
122,103,1
122,104,1
122,105,1
122,106,1
122,107,1
122,108,1
122,109,1
122,110,1
122,111,1
122,112,1
122,113,1
122,114,1
122,115,1
122,116,1
122,117,1
122,118,1
122,119,1
122,120,1
122,121,1
